text,label
"Preciso de ajuda para resetar minha senha do sistema.",Produtivo
"Bom dia, só passando para agradecer pelo suporte!",Improdutivo
"Qual é o status da minha solicitação de reembolso?",Produtivo
"Feliz aniversário para todos do time!",Improdutivo
"Anexo o relatório mensal, preciso de confirmação de recebimento.",Produtivo
"Muito obrigado pelo relatorio.",Improdutivo
"Boa tarde, gere o relatorio de apontamentos e faça a emissão da nota do mes de agosto, obrigado.",Produtivo
"Nota gerada e enviada para o email do RH",Improdutivo
"Preciso de uma margin após o header pfv.",Produtivo
"Preciso de um ajuda com o computador, nao esta ligando",Produtivo
"Parabens pela sua promoção",Improdutivo
"Bom dia, poderiam confirmar o recebimento do anexo?",Produtivo
"Poderiam me informar o prazo de liberação do pagamento?",Produtivo
"Segue o comprovante em anexo, aguardo retorno.",Produtivo
"Preciso resetar meu acesso ao portal, esqueci a senha.",Produtivo
"Qual é o status do ticket #456?",Produtivo
"Computador travando após login, podem ajudar?",Produtivo
"Muito obrigado pela atenção de todos!",Improdutivo
"Feliz sexta-feira, pessoal!",Improdutivo
"Parabéns pelo bom trabalho no último mês!",Improdutivo
"Apenas reforçando meus agradecimentos.",Improdutivo
"Tenham um excelente fim de semana!",Improdutivo
"Feliz aniversário ao time!",Improdutivo
"Bom dia, poderiam confirmar o recebimento do anexo?",Produtivo
"Poderiam me informar o prazo de liberação do pagamento?",Produtivo
"Segue o comprovante em anexo, aguardo retorno.",Produtivo
"Preciso resetar meu acesso ao portal, esqueci a senha.",Produtivo
"Qual é o status do ticket #456?",Produtivo
"Computador travando após login, podem ajudar?",Produtivo
"Preciso de liberação de acesso ao módulo financeiro.",Produtivo
"Podem abrir um chamado para verificar erro no relatório?",Produtivo
"Anexo planilha de despesas, por favor confirmar.",Produtivo
"Favor atualizar o cadastro do meu usuário no sistema.",Produtivo
"Muito obrigado pela atenção de todos!",Improdutivo
"Feliz sexta-feira, pessoal!",Improdutivo
"Parabéns pelo bom trabalho no último mês!",Improdutivo
"Apenas reforçando meus agradecimentos.",Improdutivo
"Tenham um excelente fim de semana!",Improdutivo
"Feliz aniversário ao time!",Improdutivo
"Bom dia a todos, ótimo trabalho!",Improdutivo
"Obrigado, está tudo certo agora.",Improdutivo
"Boas festas e prosperidade!",Improdutivo
"Parabéns pela conquista, equipe!",Improdutivo
